date,capture,total_obs_day,perturbation,experiment,focal_bird,dompattern_focal,bin
1/19/2022,1,1,na,initial group formation,na,na,na
1/20/2022,na,2,na,initial group formation,na,na,1
1/21/2022,na,3,na,initial group formation,na,na,1
1/22/2022,na,4,na,initial group formation,na,na,1
1/23/2022,na,5,na,initial group formation,na,na,1
1/24/2022,na,6,na,initial group formation,na,na,1
1/25/2022,na,7,na,initial group formation,na,na,na
1/26/2022,na,8,1,initial group formation,na,top-ranked,2
1/27/2022,na,9,1,initial group formation,na,top-ranked,2
1/28/2022,na,10,1,initial group formation,na,top-ranked,2
1/29/2022,2,11,1,perturbation,top-ranked,na,na
1/30/2022,na,12,1,removal,top-ranked,top-ranked,3
1/31/2022,na,13,1,removal,top-ranked,top-ranked,3
2/1/2022,na,14,1,removal,top-ranked,top-ranked,3
2/2/2022,na,15,1,removal,top-ranked,top-ranked,3
2/3/2022,na,16,1,na,top-ranked,na,na
2/4/2022,na,17,1,removal,top-ranked,top-ranked,4
2/5/2022,na,18,1,removal,top-ranked,top-ranked,4
2/6/2022,na,19,1,removal,top-ranked,top-ranked,4
2/7/2022,focal_1,20,1,reintroduction,top-ranked,top-ranked,5
2/8/2022,na,21,1,reintroduction,top-ranked,top-ranked,5
2/9/2022,na,22,1,reintroduction,top-ranked,top-ranked,5
2/10/2022,na,23,1,na,top-ranked,na,na
2/11/2022,na,24,1,na,top-ranked,na,na
2/12/2022,na,25,2,reintroduction,top-ranked,middle-ranked,6
2/13/2022,na,26,2,reintroduction,top-ranked,middle-ranked,6
2/14/2022,na,27,2,reintroduction,top-ranked,middle-ranked,6
2/15/2022,3,28,2,perturbation,middle-ranked,na,na
2/16/2022,na,29,2,removal,middle-ranked,middle-ranked,7
2/17/2022,na,30,2,removal,middle-ranked,middle-ranked,7
2/18/2022,na,31,2,removal,middle-ranked,middle-ranked,7
2/19/2022,na,32,2,na,middle-ranked,na,na
2/20/2022,na,33,2,na,middle-ranked,na,na
2/21/2022,na,34,2,removal,middle-ranked,middle-ranked,8
2/22/2022,na,35,2,removal,middle-ranked,middle-ranked,8
2/23/2022,na,36,2,removal,middle-ranked,middle-ranked,8
2/24/2022,focal_2,37,2,reintroduction,middle-ranked,middle-ranked,9
2/25/2022,na,38,2,reintroduction,middle-ranked,middle-ranked,9
2/26/2022,na,39,2,reintroduction,middle-ranked,middle-ranked,9
2/27/2022,na,40,2,na,middle-ranked,na,na
2/28/2022,na,41,2,na,middle-ranked,na,na
3/1/2022,na,42,3,reintroduction,middle-ranked,middle-ranked,10
3/2/2022,na,43,3,reintroduction,middle-ranked,middle-ranked,10
3/3/2022,na,44,3,reintroduction,middle-ranked,middle-ranked,10
3/4/2022,4,45,3,perturbation,middle-ranked,na,na
3/5/2022,na,46,3,removal,middle-ranked,middle-ranked,11
3/6/2022,na,47,3,removal,middle-ranked,middle-ranked,11
3/7/2022,na,48,3,removal,middle-ranked,middle-ranked,11
3/8/2022,na,49,3,na,middle-ranked,na,na
3/9/2022,na,50,3,na,middle-ranked,na,na
3/10/2022,na,51,3,removal,middle-ranked,middle-ranked,12
3/11/2022,na,52,3,removal,middle-ranked,middle-ranked,12
3/12/2022,na,53,3,removal,middle-ranked,middle-ranked,12
3/13/2022,na,54,3,removal,middle-ranked,middle-ranked,12
3/14/2022,focal_3,55,3,reintroduction,middle-ranked,middle-ranked,13
3/15/2022,na,56,3,reintroduction,middle-ranked,middle-ranked,13
3/16/2022,na,57,3,reintroduction,middle-ranked,middle-ranked,13
3/17/2022,na,58,3,na,middle-ranked,na,na
3/18/2022,na,59,3,na,middle-ranked,na,na
3/19/2022,na,60,4,reintroduction,middle-ranked,top-ranked,14
3/20/2022,na,61,4,reintroduction,middle-ranked,top-ranked,14
3/21/2022,na,62,4,reintroduction,middle-ranked,top-ranked,14
3/22/2022,5,63,4,perturbation,top-ranked,na,na
3/23/2022,na,64,4,removal,top-ranked,top-ranked,15
3/24/2022,na,65,4,removal,top-ranked,top-ranked,15
3/25/2022,na,66,4,removal,top-ranked,top-ranked,15
3/26/2022,na,67,4,na,top-ranked,na,na
3/27/2022,na,68,4,na,top-ranked,na,na
3/28/2022,na,69,4,removal,top-ranked,top-ranked,16
3/29/2022,na,70,4,removal,top-ranked,top-ranked,16
3/30/2022,na,71,4,removal,top-ranked,top-ranked,16
3/31/2022,focal_4,72,4,reintroduction,top-ranked,top-ranked,17
4/1/2022,na,73,4,reintroduction,top-ranked,top-ranked,17
4/2/2022,na,74,4,reintroduction,top-ranked,top-ranked,17
4/3/2022,na,75,4,na,top-ranked,na,na
4/4/2022,na,76,4,na,top-ranked,na,na
4/5/2022,na,77,5,reintroduction,top-ranked,bottom-ranked,18
4/6/2022,na,78,5,reintroduction,top-ranked,bottom-ranked,18
4/7/2022,na,79,5,reintroduction,top-ranked,bottom-ranked,18
4/8/2022,6,80,5,perturbation,bottom-ranked,na,na
4/9/2022,na,81,5,removal,bottom-ranked,bottom-ranked,19
