"rule_type","rule_time","Group"
"Retaliation",194,"1"
"Retaliation",1,"1"
"Retaliation",12,"1"
"Retaliation",12,"1"
"Retaliation",183,"1"
"Retaliation",579,"1"
"Retaliation",2,"1"
"Retaliation",2,"1"
"Retaliation",2391,"1"
"Retaliation",2,"1"
"Retaliation",339,"1"
"Retaliation",3,"1"
"Retaliation",1,"1"
"Retaliation",33,"1"
"Retaliation",22,"1"
"Retaliation",1,"1"
"Pile-on",1,"1"
"Pile-on",81,"1"
"Pile-on",11,"1"
"Pile-on",1,"1"
"Pile-on",4,"1"
"Pile-on",8,"1"
"Pile-on",6,"1"
"Pile-on",18,"1"
"Pile-on",15,"1"
"Pile-on",5,"1"
"Pile-on",120,"1"
"Pile-on",13,"1"
"Pile-on",12,"1"
"Pile-on",2,"1"
"Pile-on",14,"1"
"Pile-on",11,"1"
"Pile-on",13,"1"
"Pile-on",11,"1"
"Pile-on",17,"1"
"Pile-on",110,"1"
"Pile-on",2,"1"
"Pile-on",57,"1"
"Pile-on",31,"1"
"Pile-on",7,"1"
"Pile-on",7,"1"
"Pile-on",3,"1"
"Pile-on",43,"1"
"Pile-on",22,"1"
"Pile-on",10,"1"
"Pile-on",61,"1"
"Pile-on",5,"1"
"Pile-on",5,"1"
"Pile-on",2,"1"
"Pile-on",40,"1"
"Pile-on",2,"1"
"Pile-on",12,"1"
"Pile-on",1,"1"
"Pile-on",1,"1"
"Pile-on",4,"1"
"Pile-on",3,"1"
"Pile-on",2,"1"
"Pile-on",2,"1"
"Pile-on",1,"1"
"Pile-on",2,"1"
"Pile-on",3,"1"
"Pile-on",10,"1"
"Pile-on",31,"1"
"Pile-on",2,"1"
"Pile-on",83,"1"
"Pile-on",2,"1"
"Pile-on",14,"1"
"Pile-on",3,"1"
"Pile-on",8,"1"
"Pile-on",2,"1"
"Pile-on",5,"1"
"Pile-on",9,"1"
"Pile-on",79,"1"
"Pile-on",59,"1"
"Pile-on",53,"1"
"Pile-on",21,"1"
"Pile-on",199,"1"
"Pile-on",12,"1"
"Pile-on",2,"1"
"Pile-on",84,"1"
"Pile-on",2,"1"
"Pile-on",1,"1"
"Pile-on",2,"1"
"Pile-on",1,"1"
"Pile-on",5,"1"
"Pile-on",2,"1"
"Pile-on",5,"1"
"Pile-on",165,"1"
"Pile-on",12,"1"
"Pile-on",11,"1"
"Pile-on",4,"1"
"Pile-on",19,"1"
"Pile-on",1,"1"
"Pile-on",3,"1"
"Pile-on",59,"1"
"Pile-on",2,"1"
"Pile-on",246,"1"
"Pile-on",2,"1"
"Pile-on",1,"1"
"Pile-on",9,"1"
"Pile-on",74,"1"
"Pile-on",2,"1"
"Pile-on",2,"1"
"Pile-on",15,"1"
"Pile-on",102,"1"
"Pile-on",22,"1"
"Pile-on",1541,"1"
"Pile-on",239,"1"
"Pile-on",5,"1"
"Pile-on",20,"1"
"Pile-on",1,"1"
"Pile-on",2,"1"
"Pile-on",2,"1"
"Pile-on",15,"1"
"Pile-on",179,"1"
"Pile-on",277,"1"
"Pile-on",811,"1"
"Pile-on",117,"1"
"Pile-on",4,"1"
"Pile-on",12,"1"
"Pile-on",145,"1"
"Pile-on",56,"1"
"Pile-on",49,"1"
"Pile-on",134,"1"
"Pile-on",7,"1"
"Pile-on",74,"1"
"Pile-on",1,"1"
"Pile-on",2,"1"
"Pile-on",1,"1"
"Pile-on",4,"1"
"Pile-on",2,"1"
"Pile-on",73,"1"
"Pile-on",13,"1"
"Pile-on",1,"1"
"Pile-on",33,"1"
"Pile-on",13,"1"
"Pile-on",18,"1"
"Pile-on",6,"1"
"Pile-on",30,"1"
"Pile-on",9,"1"
"Pile-on",14,"1"
"Pile-on",420,"1"
"Pile-on",74,"1"
"Pile-on",11,"1"
"Pile-on",35,"1"
"Pile-on",3,"1"
"Pile-on",2,"1"
"Pile-on",15,"1"
"Pile-on",27,"1"
"Pile-on",6,"1"
"Pile-on",5,"1"
"Pile-on",3,"1"
"Pile-on",21,"1"
"Pile-on",10,"1"
"Pile-on",50,"1"
"Pile-on",11,"1"
"Pile-on",73,"1"
"Pile-on",25,"1"
"Pile-on",7,"1"
"Pile-on",27,"1"
"Pile-on",130,"1"
"Pile-on",47,"1"
"Pile-on",170,"1"
"Pile-on",14,"1"
"Pile-on",40,"1"
"Pile-on",17,"1"
"Pile-on",4,"1"
"Pile-on",2,"1"
"Pile-on",2,"1"
"Pile-on",22,"1"
"Pile-on",1,"1"
"Pile-on",17,"1"
"Pile-on",5,"1"
"Pile-on",21,"1"
"Pile-on",2,"1"
"Pile-on",2,"1"
"Pile-on",11,"1"
"Pile-on",1,"1"
"Pile-on",16,"1"
"Pile-on",1,"1"
"Pile-on",6,"1"
"Pile-on",53,"1"
"Pile-on",39,"1"
"Pile-on",11,"1"
"Pile-on",25,"1"
"Pile-on",3,"1"
"Pile-on",46,"1"
"Pile-on",13,"1"
"Pile-on",35,"1"
"Pile-on",22,"1"
"Pile-on",18,"1"
"Pile-on",7,"1"
"Pile-on",17,"1"
"Pile-on",141,"1"
"Pile-on",7,"1"
"Pile-on",2,"1"
"Pile-on",301,"1"
"Pile-on",58,"1"
"Pile-on",79,"1"
"Pile-on",8,"1"
"Pile-on",80,"1"
"Pile-on",1,"1"
"Pile-on",38,"1"
"Pile-on",5,"1"
"Pile-on",2,"1"
"Pile-on",2,"1"
"Pile-on",1,"1"
"Pile-on",78,"1"
"Pile-on",5,"1"
"Pile-on",169,"1"
"Pile-on",2,"1"
"Pile-on",8,"1"
"Pile-on",18,"1"
"Pass-along",142,"1"
"Pass-along",339,"1"
"Pass-along",177,"1"
"Pass-along",191,"1"
"Pass-along",407,"1"
"Pass-along",375,"1"
"Pass-along",5,"1"
"Pass-along",50,"1"
"Pass-along",432,"1"
"Pass-along",102,"1"
"Pass-along",78,"1"
"Pass-along",68,"1"
"Pass-along",58,"1"
"Pass-along",706,"1"
"Pass-along",940,"1"
"Pass-along",173,"1"
"Pass-along",145,"1"
"Pass-along",535,"1"
"Pass-along",4,"1"
"Pass-along",43,"1"
"Pass-along",3,"1"
"Pass-along",2,"1"
"Pass-along",1214,"1"
"Pass-along",1932,"1"
"Pass-along",1434,"1"
"Pass-along",1476,"1"
"Pass-along",250,"1"
"Pass-along",151,"1"
"Pass-along",2604,"1"
"Pass-along",392,"1"
"Pass-along",245,"1"
"Pass-along",165,"1"
"Pass-along",28,"1"
"Pass-along",51,"1"
"Pass-along",13,"1"
"Pass-along",234,"1"
"Pass-along",60,"1"
"Pass-along",105,"1"
"Pass-along",1336,"1"
"Pass-along",330,"1"
"Pass-along",31,"1"
"Pass-along",288,"1"
"Pass-along",68,"1"
"Pass-along",787,"1"
"Pass-along",56,"1"
"Pass-along",251,"1"
"Pass-along",668,"1"
"Pass-along",531,"1"
"Pass-along",389,"1"
"Pass-along",60,"1"
"Pass-along",74,"1"
"Pass-along",63,"1"
"Pass-along",936,"1"
"Pass-along",107,"1"
"Pass-along",137,"1"
"Pass-along",24,"1"
"Pass-along",224,"1"
"Pass-along",229,"1"
"Pass-along",84,"1"
