"actor","subject","actor_2","subject_2","rule_type","rule_time","date_period","Group"
"GGG","PGG","PGG","GGG","Retaliation",194,"2021-05-15 1","1"
"PGG","GGG","GGG","PGG","Retaliation",1,"2021-05-15 1","1"
"GGG","PGG","PGG","GGG","Retaliation",12,"2021-05-15 1","1"
"PGG","GGG","GGG","PGG","Retaliation",12,"2021-05-15 1","1"
"PPO","PGG","PGG","PPO","Retaliation",183,"2021-05-15 1","1"
"PGG","GGG","GGG","PGG","Retaliation",579,"2021-05-15 1","1"
"BOB","OOP","OOP","BOB","Retaliation",2,"2021-05-15 1","1"
"OOP","PGG","PGG","OOP","Retaliation",2,"2021-05-15 1","1"
"GGG","PGG","PGG","GGG","Retaliation",2391,"2021-05-16 1","1"
"POO","PPO","PPO","POO","Retaliation",2,"2021-05-16 2","1"
"GOP","POP","POP","GOP","Retaliation",339,"2021-05-16 2","1"
"PPP","OBB","OBB","PPP","Retaliation",3,"2021-05-17 1","1"
"OOO","OBB","OBB","OOO","Retaliation",1,"2021-05-17 1","1"
"GOP","OPP","OPP","GOP","Retaliation",33,"2021-05-17 1","1"
"BOB","POP","POP","BOB","Retaliation",22,"2021-05-17 1","1"
"BOB","OGO","OGO","BOB","Retaliation",1,"2021-05-17 2","1"
"GGO","GGG","OOP","GGG","Pile-on",1,"2021-05-15 1","1"
"BBB","PGG","OOP","PGG","Pile-on",81,"2021-05-15 1","1"
"GOP","BOB","POP","BOB","Pile-on",11,"2021-05-15 1","1"
"POP","OBB","BBB","OBB","Pile-on",1,"2021-05-15 1","1"
"POP","OBB","BBB","OBB","Pile-on",4,"2021-05-15 1","1"
"GOP","OBB","PPP","OBB","Pile-on",8,"2021-05-15 1","1"
"GPG","GOP","GGO","GOP","Pile-on",6,"2021-05-15 1","1"
"BBB","OPP","GPG","OPP","Pile-on",18,"2021-05-15 1","1"
"POP","GOP","PBB","GOP","Pile-on",15,"2021-05-15 1","1"
"GGG","PGG","BOB","PGG","Pile-on",5,"2021-05-15 1","1"
"GGG","PPO","OGO","PPO","Pile-on",120,"2021-05-15 1","1"
"GGG","PGG","PPO","PGG","Pile-on",13,"2021-05-15 1","1"
"PPO","PGG","GGG","PGG","Pile-on",12,"2021-05-15 1","1"
"GGG","PGG","PPO","PGG","Pile-on",2,"2021-05-15 1","1"
"PPO","PGG","GGG","PGG","Pile-on",14,"2021-05-15 1","1"
"GGG","PGG","PPO","PGG","Pile-on",11,"2021-05-15 1","1"
"PPO","PGG","GGG","PGG","Pile-on",13,"2021-05-15 1","1"
"GGG","PGG","BOB","PGG","Pile-on",11,"2021-05-15 1","1"
"BBB","POO","POP","POO","Pile-on",17,"2021-05-15 1","1"
"BOB","PGG","PBO","PGG","Pile-on",110,"2021-05-15 1","1"
"PBO","PGG","GOO","PGG","Pile-on",2,"2021-05-15 1","1"
"PBO","PPO","GOO","PPO","Pile-on",57,"2021-05-15 1","1"
"OOP","GGG","OGO","GGG","Pile-on",31,"2021-05-15 1","1"
"POO","PGG","GGG","PGG","Pile-on",7,"2021-05-15 1","1"
"OBB","PGG","GOP","PGG","Pile-on",7,"2021-05-15 1","1"
"PBO","PGG","GOO","PGG","Pile-on",3,"2021-05-15 1","1"
"OPP","OOO","POO","OOO","Pile-on",43,"2021-05-15 1","1"
"GPG","PPP","PGG","PPP","Pile-on",22,"2021-05-15 1","1"
"BBB","GOO","BOB","GOO","Pile-on",10,"2021-05-15 1","1"
"OBB","OPP","POP","OPP","Pile-on",61,"2021-05-15 1","1"
"GOO","GOP","POO","GOP","Pile-on",5,"2021-05-15 1","1"
"GPG","BOB","GGO","BOB","Pile-on",5,"2021-05-15 1","1"
"GGO","BOB","GPG","BOB","Pile-on",2,"2021-05-15 1","1"
"OPP","OOO","POP","OOO","Pile-on",40,"2021-05-15 1","1"
"GOP","PGG","PPP","PGG","Pile-on",2,"2021-05-15 1","1"
"PPP","PGG","GOP","PGG","Pile-on",12,"2021-05-15 1","1"
"GOP","PGG","PPP","PGG","Pile-on",1,"2021-05-15 1","1"
"PPP","PGG","GOP","PGG","Pile-on",1,"2021-05-15 1","1"
"GOP","PGG","PPP","PGG","Pile-on",4,"2021-05-15 1","1"
"PPP","PGG","GOP","PGG","Pile-on",3,"2021-05-15 1","1"
"GPG","OGO","OOP","OGO","Pile-on",2,"2021-05-15 1","1"
"OOP","GOP","GGO","GOP","Pile-on",2,"2021-05-15 1","1"
"OBB","PBB","OGO","PBB","Pile-on",1,"2021-05-15 1","1"
"BBB","GOP","POP","GOP","Pile-on",2,"2021-05-15 1","1"
"GPG","POO","OOP","POO","Pile-on",3,"2021-05-15 1","1"
"GPG","GGG","PGG","GGG","Pile-on",10,"2021-05-15 1","1"
"PGG","GGG","OOO","GGG","Pile-on",31,"2021-05-15 1","1"
"PBB","OOP","OOO","OOP","Pile-on",2,"2021-05-15 1","1"
"GGG","PGG","GOO","PGG","Pile-on",83,"2021-05-15 2","1"
"POO","OPP","OBB","OPP","Pile-on",2,"2021-05-15 2","1"
"OBB","POO","OGO","POO","Pile-on",14,"2021-05-15 2","1"
"GPG","PPO","GGO","PPO","Pile-on",3,"2021-05-15 2","1"
"GPG","OBB","OOP","OBB","Pile-on",8,"2021-05-15 2","1"
"POP","PPO","POO","PPO","Pile-on",2,"2021-05-15 2","1"
"OOP","OPP","GPG","OPP","Pile-on",5,"2021-05-15 2","1"
"PBB","GPG","OOO","GPG","Pile-on",9,"2021-05-15 2","1"
"GOP","BOB","POP","BOB","Pile-on",79,"2021-05-15 2","1"
"BBB","BOB","POO","BOB","Pile-on",59,"2021-05-15 2","1"
"GPG","OBB","OOP","OBB","Pile-on",53,"2021-05-15 2","1"
"OOP","OBB","GPG","OBB","Pile-on",21,"2021-05-15 2","1"
"POO","BOB","OGO","BOB","Pile-on",199,"2021-05-15 2","1"
"GOO","OBB","PBO","OBB","Pile-on",12,"2021-05-15 2","1"
"PBO","OBB","GOO","OBB","Pile-on",2,"2021-05-15 2","1"
"OGO","BOB","POO","BOB","Pile-on",84,"2021-05-15 2","1"
"PPP","OBB","POP","OBB","Pile-on",2,"2021-05-16 1","1"
"POP","OBB","GOP","OBB","Pile-on",1,"2021-05-16 1","1"
"GOP","OBB","POP","OBB","Pile-on",2,"2021-05-16 1","1"
"POP","OBB","PPP","OBB","Pile-on",1,"2021-05-16 1","1"
"PPP","OBB","GOP","OBB","Pile-on",5,"2021-05-16 1","1"
"BBB","PGG","GPG","PGG","Pile-on",2,"2021-05-16 1","1"
"GPG","PGG","BBB","PGG","Pile-on",5,"2021-05-16 1","1"
"BBB","PGG","OPP","PGG","Pile-on",165,"2021-05-16 1","1"
"POO","BOB","BBB","BOB","Pile-on",12,"2021-05-16 1","1"
"GOO","PGG","OBB","PGG","Pile-on",11,"2021-05-16 1","1"
"GPG","BOB","GGO","BOB","Pile-on",4,"2021-05-16 1","1"
"GGO","BOB","POP","BOB","Pile-on",19,"2021-05-16 1","1"
"BOB","PPP","GOO","PPP","Pile-on",1,"2021-05-16 1","1"
"POP","BOB","GOP","BOB","Pile-on",3,"2021-05-16 1","1"
"GOP","BOB","BBB","BOB","Pile-on",59,"2021-05-16 1","1"
"POP","PPO","BBB","PPO","Pile-on",2,"2021-05-16 1","1"
"GPG","BOB","GOP","BOB","Pile-on",246,"2021-05-16 1","1"
"GOP","BOB","PPP","BOB","Pile-on",2,"2021-05-16 1","1"
"PPP","BOB","GOP","BOB","Pile-on",1,"2021-05-16 1","1"
"POP","BOB","GPG","BOB","Pile-on",9,"2021-05-16 1","1"
"BBB","OPP","POO","OPP","Pile-on",74,"2021-05-16 1","1"
"BOB","PBB","OPP","PBB","Pile-on",2,"2021-05-16 1","1"
"OPP","PBB","BOB","PBB","Pile-on",2,"2021-05-16 1","1"
"OOO","PPO","OOP","PPO","Pile-on",15,"2021-05-16 1","1"
