"actor","subject","actor_2","subject_2","rule_type","rule_time","date_period","Group"
"PPO","OPP","OPO","OPP","Pile-on",117,"2022-01-26 1","2"
"OPO","OPP","PGG","OPP","Pile-on",28,"2022-01-26 1","2"
"PGG","OPP","PBO","OPP","Pile-on",2,"2022-01-26 1","2"
"POP","OPP","PGG","OPP","Pile-on",53,"2022-01-26 1","2"
"OOO","GGP","BBB","GGP","Pile-on",45,"2022-01-26 1","2"
"BOB","POP","GPO","POP","Pile-on",7,"2022-01-26 1","2"
"BBB","GGP","POP","GGP","Pile-on",28,"2022-01-26 1","2"
"POP","GGP","BBB","GGP","Pile-on",6,"2022-01-26 1","2"
"BBB","GGP","POP","GGP","Pile-on",5,"2022-01-26 1","2"
"BBB","GGP","OOO","GGP","Pile-on",37,"2022-01-26 1","2"
"BBB","GGP","POP","GGP","Pile-on",11,"2022-01-26 1","2"
"POP","GGP","OOO","GGP","Pile-on",2,"2022-01-26 1","2"
"OOO","PPO","BBB","PPO","Pile-on",61,"2022-01-26 1","2"
"BBB","GGP","POP","GGP","Pile-on",23,"2022-01-26 1","2"
"OOO","PPO","PGG","PPO","Pile-on",13,"2022-01-26 1","2"
"OPO","GGP","BBB","GGP","Pile-on",11,"2022-01-26 1","2"
"BBB","GGP","PBO","GGP","Pile-on",3,"2022-01-26 1","2"
"BBB","GGP","OPO","GGP","Pile-on",20,"2022-01-26 1","2"
"BBB","GGP","POP","GGP","Pile-on",32,"2022-01-26 1","2"
"POP","GGP","OOO","GGP","Pile-on",10,"2022-01-26 1","2"
"OOO","GGP","BBB","GGP","Pile-on",10,"2022-01-26 1","2"
"BBB","OPP","PPO","OPP","Pile-on",8,"2022-01-26 1","2"
"POP","PPO","BBB","PPO","Pile-on",6,"2022-01-26 1","2"
"POP","GGP","BBB","GGP","Pile-on",96,"2022-01-26 1","2"
"GPO","GGP","BOB","GGP","Pile-on",5,"2022-01-26 1","2"
"OPO","PPO","PGG","PPO","Pile-on",12,"2022-01-26 1","2"
"GPO","PGG","PBO","PGG","Pile-on",2,"2022-01-26 1","2"
"PPO","OPP","OPO","OPP","Pile-on",34,"2022-01-26 1","2"
"OPO","OPP","PPO","OPP","Pile-on",29,"2022-01-26 1","2"
"BBB","GGP","BOB","GGP","Pile-on",46,"2022-01-26 1","2"
"OPO","OOO","PBO","OOO","Pile-on",112,"2022-01-26 1","2"
"BBB","GGP","PBO","GGP","Pile-on",15,"2022-01-26 1","2"
"BBB","PPO","GPO","PPO","Pile-on",18,"2022-01-26 2","2"
"OPO","GGP","BBB","GGP","Pile-on",213,"2022-01-26 2","2"
"BOB","OPP","PPO","OPP","Pile-on",31,"2022-01-26 2","2"
"BOB","PGG","GPO","PGG","Pile-on",44,"2022-01-26 2","2"
"BBB","GPO","OPO","GPO","Pile-on",1,"2022-01-26 2","2"
"PBO","PGG","PPO","PGG","Pile-on",7,"2022-01-26 2","2"
"PPO","PGG","GPO","PGG","Pile-on",4,"2022-01-26 2","2"
"GPO","PGG","PPO","PGG","Pile-on",3,"2022-01-26 2","2"
"GPO","OOO","BOB","OOO","Pile-on",8,"2022-01-26 2","2"
"BBB","GGP","POP","GGP","Pile-on",5,"2022-01-26 2","2"
"POP","GGP","BBB","GGP","Pile-on",46,"2022-01-26 2","2"
"BOB","GGP","OOO","GGP","Pile-on",2,"2022-01-26 2","2"
"PBO","BBB","BOB","BBB","Pile-on",1,"2022-01-26 2","2"
"GPO","BBB","BOB","BBB","Pile-on",40,"2022-01-26 2","2"
"OPO","OOO","BBB","OOO","Pile-on",10,"2022-01-26 2","2"
"BOB","GGP","BBB","GGP","Pile-on",9,"2022-01-26 2","2"
"PGG","OPP","POP","OPP","Pile-on",17,"2022-01-26 2","2"
"BOB","POP","OPO","POP","Pile-on",13,"2022-01-26 2","2"
"PBO","BBB","BOB","BBB","Pile-on",24,"2022-01-26 2","2"
"PBO","POP","BOB","POP","Pile-on",47,"2022-01-26 2","2"
"BOB","PPO","POP","PPO","Pile-on",4,"2022-01-26 2","2"
"OPP","POP","OPO","POP","Pile-on",20,"2022-01-26 2","2"
"OPO","BBB","PBO","BBB","Pile-on",2,"2022-01-26 2","2"
"POP","PPO","OPO","PPO","Pile-on",26,"2022-01-26 2","2"
"PPO","OPP","GPO","OPP","Pile-on",26,"2022-01-26 2","2"
"OPO","POP","PBO","POP","Pile-on",102,"2022-01-26 2","2"
"GPO","PGG","BOB","PGG","Pile-on",56,"2022-01-26 2","2"
"GPO","BBB","PBO","BBB","Pile-on",130,"2022-01-26 2","2"
"BBB","OPP","PBO","OPP","Pile-on",28,"2022-01-26 2","2"
"OPO","OOO","PBO","OOO","Pile-on",2,"2022-01-26 2","2"
"PGG","OPP","PPO","OPP","Pile-on",9,"2022-01-26 2","2"
"PPO","OPP","POP","OPP","Pile-on",4,"2022-01-26 2","2"
"POP","OPP","PPO","OPP","Pile-on",3,"2022-01-26 2","2"
"PPO","OPP","PBO","OPP","Pile-on",90,"2022-01-26 2","2"
"PBO","OPP","PGG","OPP","Pile-on",50,"2022-01-26 2","2"
"OOO","GGP","BBB","GGP","Pile-on",64,"2022-01-26 2","2"
"BBB","GGP","POP","GGP","Pile-on",4,"2022-01-26 2","2"
"PGG","OPP","BBB","OPP","Pile-on",11,"2022-01-26 2","2"
"OPP","PPO","POP","PPO","Pile-on",2,"2022-01-27 1","2"
"BBB","PPO","POP","PPO","Pile-on",4,"2022-01-27 1","2"
"POP","PPO","PBO","PPO","Pile-on",12,"2022-01-27 1","2"
"PPO","OPP","GPO","OPP","Pile-on",11,"2022-01-27 1","2"
"GPO","OPP","PPO","OPP","Pile-on",29,"2022-01-27 1","2"
"GPO","BBB","BOB","BBB","Pile-on",4,"2022-01-27 1","2"
"BBB","GGP","PBO","GGP","Pile-on",19,"2022-01-27 1","2"
"PBO","GGP","BBB","GGP","Pile-on",1,"2022-01-27 1","2"
"BBB","GGP","OPO","GGP","Pile-on",173,"2022-01-27 1","2"
"BBB","GGP","POP","GGP","Pile-on",14,"2022-01-27 1","2"
"GPO","PGG","OPO","PGG","Pile-on",1,"2022-01-27 1","2"
"GGP","PPO","POP","PPO","Pile-on",17,"2022-01-27 1","2"
"PBO","BBB","OPO","BBB","Pile-on",76,"2022-01-27 1","2"
