"count_of_rule_follows","Group","groupid","rule"
9,"Retalialtion Group 1","Group 1","Retaliation"
6,"Retalialtion Group 1","Group 1","Retaliation"
14,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
12,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
17,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
12,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
12,"Retalialtion Group 1","Group 1","Retaliation"
5,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
6,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
15,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
6,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
3,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
11,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
14,"Retalialtion Group 1","Group 1","Retaliation"
15,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
6,"Retalialtion Group 1","Group 1","Retaliation"
5,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
12,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
13,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
4,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
13,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
12,"Retalialtion Group 1","Group 1","Retaliation"
5,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
11,"Retalialtion Group 1","Group 1","Retaliation"
11,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
6,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
13,"Retalialtion Group 1","Group 1","Retaliation"
11,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
16,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
6,"Retalialtion Group 1","Group 1","Retaliation"
3,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
6,"Retalialtion Group 1","Group 1","Retaliation"
6,"Retalialtion Group 1","Group 1","Retaliation"
11,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
15,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
11,"Retalialtion Group 1","Group 1","Retaliation"
8,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
11,"Retalialtion Group 1","Group 1","Retaliation"
11,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
11,"Retalialtion Group 1","Group 1","Retaliation"
11,"Retalialtion Group 1","Group 1","Retaliation"
13,"Retalialtion Group 1","Group 1","Retaliation"
14,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
13,"Retalialtion Group 1","Group 1","Retaliation"
7,"Retalialtion Group 1","Group 1","Retaliation"
11,"Retalialtion Group 1","Group 1","Retaliation"
6,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
5,"Retalialtion Group 1","Group 1","Retaliation"
12,"Retalialtion Group 1","Group 1","Retaliation"
10,"Retalialtion Group 1","Group 1","Retaliation"
6,"Retalialtion Group 1","Group 1","Retaliation"
15,"Retalialtion Group 1","Group 1","Retaliation"
9,"Retalialtion Group 1","Group 1","Retaliation"
